Time;Position;Velocity;Acceleration;ActualTime
8,315143;1,47258;0,5474067;-0,04905;638546757110996144
8,320143;1,475072;0,4983567;-0,04905;638546757111056145
8,325143;1,477318;0,4493067;-0,04905;638546757111106161
8,330143;1,47932;0,4002567;-0,04905;638546757111166148
8,335143;1,481076;0,3512067;-0,04905;638546757111166148
8,340143;1,482587;0,3021567;-0,04905;638546757111216159
8,345143;1,483852;0,2531067;-0,04905;638546757111276151
8,350143;1,484872;0,2040567;-0,04905;638546757111336144
8,355144;1,485647;0,1550066;-0,04905;638546757111396155
8,360144;1,486177;0,1059566;-0,04905;638546757111446156
8,365144;1,486462;0,05690664;-0,04905;638546757111506142
8,370144;1,486501;0,007856637;-0,04905;638546757111556146
8,375144;1,486295;-0,04119337;-0,04905;638546757111616142
8,380144;1,485844;-0,09024337;-0,04905;638546757111616142
8,385144;1,485147;-0,1392934;-0,04905;638546757111666143
8,390144;1,484206;-0,1883434;-0,04905;638546757111716148
8,395144;1,483019;-0,2373934;-0,04905;638546757111776148
8,400145;1,481586;-0,2864434;-0,04905;638546757111836142
8,405145;1,479909;-0,3354934;-0,04905;638546757111886149
8,410145;1,477986;-0,3845434;-0,04905;638546757111946156
8,415145;1,475818;-0,4335934;-0,04905;638546757112006151
8,420145;1,473405;-0,4826434;-0,04905;638546757112056161
8,425145;1,470747;-0,5316934;-0,04905;638546757112116145
8,430145;1,467843;-0,5807434;-0,04905;638546757112116145
8,435145;1,464694;-0,6297934;-0,04905;638546757112166159
8,440145;1,4613;-0,6788434;-0,04905;638546757112226171
8,445146;1,45766;-0,7278934;-0,04905;638546757112276172
8,450146;1,453776;-0,7769433;-0,04905;638546757112336146
8,455146;1,449646;-0,8259933;-0,04905;638546757112396144
8,460146;1,44527;-0,8750433;-0,04905;638546757112456141
8,465146;1,44065;-0,9240932;-0,04905;638546757112516142
8,470146;1,435784;-0,9731432;-0,04905;638546757112516142
8,475146;1,430673;-1,022193;-0,04905;638546757112576142
8,480146;1,425317;-1,071243;-0,04905;638546757112626143
8,485147;1,419715;-1,120293;-0,04905;638546757112676145
8,490147;1,413869;-1,169343;-0,04905;638546757112736138
8,495147;1,407777;-1,218393;-0,04905;638546757112796140
8,500147;1,40144;-1,267443;-0,04905;638546757112846142
8,505147;1,394857;-1,316493;-0,04905;638546757112906141
8,510147;1,388029;-1,365543;-0,04905;638546757112956143
8,515147;1,380956;-1,414593;-0,04905;638546757113016140
8,520147;1,373638;-1,463643;-0,04905;638546757113016140
8,525147;1,366075;-1,512693;-0,04905;638546757113066146
8,530148;1,358266;-1,561743;-0,04905;638546757113126172
8,535148;1,350212;-1,610793;-0,04905;638546757113186140
8,540148;1,341913;-1,659843;-0,04905;638546757113246141
8,545148;1,333368;-1,708893;-0,04905;638546757113296161
8,550148;1,324579;-1,757943;-0,04905;638546757113356138
8,555148;1,315544;-1,806993;-0,04905;638546757113406138
8,560148;1,306263;-1,856043;-0,04905;638546757113456139
8,565148;1,296738;-1,905093;-0,04905;638546757113506139
8,570148;1,286967;-1,954143;-0,04905;638546757113566142
8,575149;1,276951;-2,003193;-0,04905;638546757113566142
8,580149;1,26669;-2,052243;-0,04905;638546757113616146
8,585149;1,256184;-2,101293;-0,04905;638546757113676134
8,590149;1,245432;-2,150343;-0,04905;638546757113726192
8,595149;1,234435;-2,199393;-0,04905;638546757113786135
8,600149;1,223193;-2,248443;-0,04905;638546757113846131
8,605149;1,211705;-2,297493;-0,04905;638546757113896152
8,610149;1,199973;-2,346543;-0,04905;638546757113956147
8,615149;1,187995;-2,395593;-0,04905;638546757114016133
8,62015;1,175771;-2,444643;-0,04905;638546757114016133
8,62515;1,163303;-2,493694;-0,04905;638546757114066143
8,63015;1,150589;-2,542744;-0,04905;638546757114126140
8,63515;1,13763;-2,591794;-0,04905;638546757114186140
8,64015;1,124426;-2,640844;-0,04905;638546757114246143
8,64515;1,110977;-2,689894;-0,04905;638546757114306136
8,65015;1,097282;-2,738944;-0,04905;638546757114356138
8,65515;1,083342;-2,787994;-0,04905;638546757114406146
8,660151;1,069157;-2,837044;-0,04905;638546757114466143
8,665151;1,054726;-2,886094;-0,04905;638546757114466143
8,670151;1,04005;-2,935144;-0,04905;638546757114526140
8,675151;1,025129;-2,984195;-0,04905;638546757114586138
8,680151;1,009963;-3,033245;-0,04905;638546757114646143
8,685151;0,9945518;-3,082295;-0,04905;638546757114696145
8,690151;0,9788951;-3,131345;-0,04905;638546757114756141
8,695151;0,9629931;-3,180395;-0,04905;638546757114816135
8,700151;0,9468459;-3,229445;-0,04905;638546757114816135
8,705152;0,9304534;-3,278495;-0,04905;638546757114876138
8,710152;0,9138157;-3,327545;-0,04905;638546757114926138
8,715152;0,8969327;-3,376595;-0,04905;638546757114976141
8,720152;0,8798045;-3,425645;-0,04905;638546757115026143
8,725152;0,862431;-3,474695;-0,04905;638546757115086145
8,730152;0,8448123;-3,523746;-0,04905;638546757115146132
8,735152;0,8269483;-3,572796;-0,04905;638546757115196142
8,740152;0,8088391;-3,621846;-0,04905;638546757115256135
8,745152;0,7904846;-3,670896;-0,04905;638546757115306140
8,750153;0,7718849;-3,719946;-0,04905;638546757115366138
8,755153;0,7530399;-3,768996;-0,04905;638546757115366138
8,760153;0,7339497;-3,818046;-0,04905;638546757115416141
8,765153;0,7146142;-3,867096;-0,04905;638546757115466151
8,770153;0,6950334;-3,916146;-0,04905;638546757115526143
8,775153;0,6752074;-3,965196;-0,04905;638546757115586142
8,780153;0,6551362;-4,014246;-0,04905;638546757115646140
8,785153;0,6348197;-4,063296;-0,04905;638546757115706141
8,790154;0,614258;-4,112346;-0,04905;638546757115766141
8,795154;0,593451;-4,161396;-0,04905;638546757115766141
8,800154;0,5723988;-4,210446;-0,04905;638546757115826137
8,805154;0,5511013;-4,259496;-0,04905;638546757115876146
8,810154;0,5295586;-4,308546;-0,04905;638546757115936142
8,815154;0,5077706;-4,357595;-0,04905;638546757115996140
8,820154;0,5154242;3,472237;0,01729878;638546757116046140
8,825154;0,5325401;3,423187;-0,04905;638546757116106141
8,830154;0,5494108;3,374137;-0,04905;638546757116156144
8,835155;0,5660362;3,325087;-0,04905;638546757116216136
8,840155;0,5824164;3,276037;-0,04905;638546757116216136
8,845155;0,5985513;3,226987;-0,04905;638546757116266143
8,850155;0,614441;3,177937;-0,04905;638546757116326136
8,855155;0,6300855;3,128887;-0,04905;638546757116376140
8,860155;0,6454846;3,079837;-0,04905;638546757116426141
8,865155;0,6606386;3,030787;-0,04905;638546757116486148
8,870155;0,6755472;2,981736;-0,04905;638546757116546139
8,875155;0,6902107;2,932686;-0,04905;638546757116596158
8,880156;0,7046289;2,883636;-0,04905;638546757116646162
8,885156;0,7188018;2,834586;-0,04905;638546757116706156
8,890156;0,7327295;2,785536;-0,04905;638546757116766148
8,895156;0,7464119;2,736486;-0,04905;638546757116766148
8,900156;0,7598491;2,687436;-0,04905;638546757116826143
8,905156;0,773041;2,638386;-0,04905;638546757116886144
8,910156;0,7859877;2,589336;-0,04905;638546757116936145
8,915156;0,7986891;2,540286;-0,04905;638546757116986151
8,920156;0,8111453;2,491235;-0,04905;638546757117046149
8,925157;0,8233562;2,442185;-0,04905;638546757117106144
